District,Date,Year,Month,Day,Tmax,Tmin,Rainfall
Aligarh,2010-01-01,2010,1,1,22.42,4.63,0.0
Aligarh,2010-01-02,2010,1,2,22.32,8.08,0.0
Aligarh,2010-01-03,2010,1,3,22.1,8.63,0.74
Aligarh,2010-01-04,2010,1,4,20.88,7.07,0.0
Aligarh,2010-01-05,2010,1,5,21.15,4.86,0.0
Aligarh,2010-01-06,2010,1,6,21.03,4.73,0.0
Aligarh,2010-01-07,2010,1,7,20.57,8.27,0.0
Aligarh,2010-01-08,2010,1,8,20.35,8.24,0.0
Aligarh,2010-01-09,2010,1,9,21.67,6.67,0.0
Aligarh,2010-01-10,2010,1,10,22.26,5.61,0.0
Aligarh,2010-01-11,2010,1,11,22.95,4.56,0.0
Aligarh,2010-01-12,2010,1,12,23.4,6.74,0.04
Aligarh,2010-01-13,2010,1,13,16.15,8.51,4.22
Aligarh,2010-01-14,2010,1,14,20.45,5.66,0.0
Aligarh,2010-01-15,2010,1,15,21.68,4.67,0.0
Aligarh,2010-01-16,2010,1,16,23.04,5.09,0.0
Aligarh,2010-01-17,2010,1,17,23.29,6.18,0.0
Aligarh,2010-01-18,2010,1,18,23.9,7.82,0.0
Aligarh,2010-01-19,2010,1,19,24.06,7.33,0.0
Aligarh,2010-01-20,2010,1,20,22.55,6.08,0.0
Aligarh,2010-01-21,2010,1,21,23.82,4.72,0.0
Aligarh,2010-01-22,2010,1,22,22.21,8.81,0.0
Aligarh,2010-01-23,2010,1,23,24.67,8.2,0.0
Aligarh,2010-01-24,2010,1,24,25.23,8.63,0.0
Aligarh,2010-01-25,2010,1,25,24.74,8.22,0.0
Aligarh,2010-01-26,2010,1,26,25.04,8.77,0.0
Aligarh,2010-01-27,2010,1,27,24.77,10.04,0.0
Aligarh,2010-01-28,2010,1,28,24.64,10.51,0.0
Aligarh,2010-01-29,2010,1,29,25.94,8.23,0.0
Aligarh,2010-01-30,2010,1,30,26.75,9.94,0.0
Aligarh,2010-01-31,2010,1,31,25.2,7.1,0.0
Aligarh,2010-02-01,2010,2,1,23.46,8.68,0.0
Aligarh,2010-02-02,2010,2,2,25.01,8.41,0.0
Aligarh,2010-02-03,2010,2,3,25.56,7.09,0.0
Aligarh,2010-02-04,2010,2,4,26.45,7.34,0.0
Aligarh,2010-02-05,2010,2,5,26.45,8.6,0.0
Aligarh,2010-02-06,2010,2,6,28.33,9.33,0.0
Aligarh,2010-02-07,2010,2,7,27.34,13.09,0.0
Aligarh,2010-02-08,2010,2,8,24.17,14.44,5.7
Aligarh,2010-02-09,2010,2,9,24.68,11.27,6.57
Aligarh,2010-02-10,2010,2,10,24.92,10.25,0.14
Aligarh,2010-02-11,2010,2,11,26.22,9.37,0.0
Aligarh,2010-02-12,2010,2,12,22.0,12.17,4.93
Aligarh,2010-02-13,2010,2,13,25.15,10.4,0.0
Aligarh,2010-02-14,2010,2,14,25.93,9.29,0.0
Aligarh,2010-02-15,2010,2,15,25.75,9.21,0.02
Aligarh,2010-02-16,2010,2,16,27.29,13.19,0.07
