District,Year,flowering_tmax_mean,flowering_tmin_mean,flowering_tmax_max,flowering_tmax_std,flowering_day_night_diff,flowering_rainfall_total,flowering_rainy_days,flowering_extreme_heat_days,flowering_heat_stress_days,grain_filling_tmax_mean,grain_filling_tmin_mean,grain_filling_tmax_max,grain_filling_tmax_std,grain_filling_day_night_diff,grain_filling_rainfall_total,grain_filling_rainy_days,grain_filling_extreme_heat_days,grain_filling_heat_stress_days,maturation_tmax_mean,maturation_tmin_mean,maturation_tmax_max,maturation_tmax_std,maturation_day_night_diff,maturation_rainfall_total,maturation_rainy_days,maturation_extreme_heat_days,seasonal_tmax_mean,seasonal_tmin_mean,seasonal_rainfall_total
Aligarh,2010,27.247142857142858,10.733928571428573,34.07,2.8255040286421496,16.513214285714287,20.6,8,0,5,31.405,13.558214285714287,36.92,2.933419821957276,17.846785714285716,4.33,5,3,19,40.23423076923076,20.88576923076923,43.16,1.6504258191798218,19.348461538461535,0.0,0,26,29.196464088397793,13.66303867403315,61.35
Aligarh,2011,25.820714285714285,9.766071428571427,30.28,2.2455700069435944,16.054642857142856,29.839999999999996,13,0,2,27.24035714285714,11.270357142857145,32.67,3.0826677745851248,15.969999999999999,24.68,12,0,7,35.98923076923076,17.328846153846158,38.1,1.106851112216717,18.66038461538462,0.22,3,21,28.125856353591164,12.223977900552486,44.08
Aligarh,2012,25.764482758620684,8.330344827586208,30.92,3.0941229846816007,17.43413793103448,2.0399999999999996,6,0,2,29.253448275862066,10.7251724137931,34.11,2.196731786511936,18.528275862068966,2.16,6,0,10,38.168846153846154,18.931538461538462,42.15,2.3618676117396187,19.23730769230769,1.12,2,23,28.360879120879122,11.824395604395605,51.839999999999996
Aligarh,2013,24.2925,9.880357142857141,29.65,2.795412412427826,14.412142857142854,64.14,12,0,0,28.730000000000008,11.947857142857144,34.38,4.1116699319898755,16.782142857142855,36.83,9,0,12,35.43538461538462,18.037692307692307,40.41,2.583755763642114,17.397692307692303,10.499999999999998,7,13,27.286408839779007,11.710662983425415,107.46000000000001
Aligarh,2014,22.78928571428571,8.814642857142859,26.11,1.9306397492204084,13.974642857142856,50.199999999999996,12,0,0,24.86642857142857,10.446428571428571,29.34,2.521230173407733,14.42,40.21000000000001,11,0,0,33.76769230769231,16.899615384615387,38.77,2.2057149547342836,16.86807692307692,4.67,11,5,27.251933701657457,11.885303867403314,136.57
Aligarh,2015,27.53571428571428,11.053928571428571,31.92,2.6671436081424313,16.481785714285714,2.38,10,0,6,28.141785714285714,12.916785714285712,31.92,2.951214506519657,15.224999999999998,63.629999999999995,16,0,7,32.97153846153846,17.126153846153848,37.53,3.1871111587865175,15.845384615384614,38.46,9,7,28.307734806629835,12.907513812154697,151.04999999999998
Aligarh,2016,28.795172413793104,11.294482758620688,34.33,2.697494367384103,17.500689655172415,1.4000000000000001,5,0,11,32.24655172413792,15.798275862068964,36.29,2.1310464831393268,16.448275862068964,14.28,10,2,24,37.57423076923077,20.163076923076922,42.84,2.5593423734653764,17.411153846153844,3.1100000000000003,7,21,30.95631868131868,14.181428571428574,17.74
Aligarh,2017,28.195,10.360714285714284,33.64,3.009209936917736,17.834285714285713,0.13,2,0,9,30.0575,12.707857142857145,33.64,2.288118465270344,17.349642857142857,16.779999999999998,7,0,18,38.128076923076925,19.462307692307693,42.53,3.6973222951003546,18.665769230769232,5.39,2,21,30.133314917127066,13.33801104972376,55.03
Aligarh,2018,29.36642857142857,12.032142857142857,34.02,2.914537272574759,17.334285714285716,2.69,3,0,12,33.46892857142858,15.225357142857144,38.08,2.313313063128795,18.243571428571432,1.25,2,8,27,37.48269230769231,19.45423076923077,41.28,2.205374449280318,18.02846153846154,18.009999999999998,5,22,30.0921546961326,13.215414364640882,35.87
Aligarh,2019,24.425000000000004,9.872857142857143,27.91,2.0200650887936664,14.552142857142858,21.3,12,0,0,26.7525,11.45535714285714,31.62,2.169394223348144,15.297142857142859,13.09,14,0,2,36.465,18.137307692307694,41.77,3.7404002459629906,18.32769230769231,2.4499999999999993,6,17,27.795745856353584,12.734696132596685,121.63000000000001
